"
SB 1",-,"
Curls",-,"
Removes certain offenses from the list of offenses where expungement is not currently available"
"
SB 7",-,"
Emery",-,"
Modifies provisions of civil procedure regarding joinder and venue"
"
SB 30",-,"
Hegeman",-,"
Allows evidence of failure to wear a seatbelt to prove comparative negligence or to mitigate damages"
"
SB 68",-,"
Hough",-,"
Modifies provisions relating to workforce development"
"
SB 90",-,"
Libla",-,"
Modifies various  provisions relating to employment security"
"
SB 101",-,"
Riddle",-,"
Establishes a statewide hearing aid distribution program"
"
SB 134",-,"
Wallingford",-,"
Modifies provisions relating to solid waste"
"
SB 167",-,"
Crawford",-,"
Modifies provisions relating to bonding requirements on public works"
"
SB 179",-,"
Cunningham",-,"
Modifies filing requirements for certain banks and financial institutions"
"
SB 196",-,"
Bernskoetter",-,"
Authorizes the Missouri Department of Natural Resources to award grants to preserve, protect, or restore historic county courthouses"
"
SB 197",-,"
Onder",-,"
Modifies provisions relating to intoxicating liquor"
"
SB 391",-,"
Bernskoetter",-,"
Modifies provisions relating to agricultural operations"
"
HB 1",-,"
Smith",-,"
Appropriates money to the Board of Fund Commissioners"
"
HB 2",-,"
Smith",-,"
Appropriates money for the expenses, grants, refunds, and distributions of the State Board of Education and Department of Elementary and Secondary Education"
"
HB 3",-,"
Smith",-,"
Appropriates money for the expenses, grants, refunds, and distributions of the Department of Higher Education"
"
HB 4",-,"
Smith",-,"
Appropriates money for the expenses, grants, refunds, and distributions of the Department of Revenue and Department of Transportation"
"
HB 5",-,"
Smith",-,"
Appropriates money for the expenses, grants, refunds, and distributions of the Office of Administration, Department of Transportation, and Department of Public Safety"
"
HB 6",-,"
Smith",-,"
Appropriates money for the expenses, grants, refunds, and distributions of the Department of Agriculture, Department of Natural Resources, and Department of Conservation"
"
HB 7",-,"
Smith",-,"
Appropriates money for the departments of Economic Development; Insurance, Financial Institutions and Professional Registration; and Labor and Industrial Relations"
"
HB 8",-,"
Smith",-,"
Appropriates money for the expenses, grants, refunds, and distributions of the Department of Public Safety"
"
HB 9",-,"
Smith",-,"
Appropriates money for the expenses, grants, refunds, and distributions of the Department of Corrections"
"
HB 10",-,"
Smith",-,"
Appropriates money for the expenses, grants, refunds, and distributions of the Department of Mental Health, Board of Public Buildings, and Department of Health and Senior Services"
"
HB 11",-,"
Smith",-,"
Appropriates money for the expenses, grants, and distributions of the Department of Social Services"
"
HB 12",-,"
Smith",-,"
Appropriates money for the expenses, grants, refunds, and distributions of statewide elected officials, the Judiciary, Office of the State Public Defender, and General Assembly"
"
HB 13",-,"
Smith",-,"
Appropriates money for real property leases and related services"
"
HB 14",-,"
Smith",-,"
To appropriate money for supplemental purposes for the several departments and offices of state government"
"
HB 17",-,"
Smith",-,"
To appropriate money for capital improvement and other purposes for the several departments of state government and the divisions and programs thereof to be expended only as provided in Article IV, Section 28 of the Constitution of Missouri, from the funds herein designated"
"
HB 18",-,"
Smith",-,"
To appropriate money for purposes for the several departments and offices of state government; for projects involving the maintenance, repair, replacement, and improvement of state buildings and facilities"
"
HB 19",-,"
Smith",-,"
To appropriate money for purposes for the several departments and offices of state government; for planning and capital improvements including but not limited to major additions and renovations, new structures, and land improvements or acquisitions; to be expended only as p"
"
HB 77",-,"
Black",-,"
Exempts any person retired and receiving a retirement allowance from PSRS and employed by a public community college from current law relating to retirement allowance restrictions"
"
HB 138",-,"
Kidd",-,"
Establishes ""Simon's Law"" regarding life-sustaining treatment policies"
"
HB 182",-,"
Shull",-,"
Modifies provisions related to interest rates on insurance payments"
"
HB 192",-,"
DeGroot",-,"
Modifies provisions relating to court procedures"
"
HB 220",-,"
Andrews",-,"
Modifies provisions relating to the assessment of wind energy property for electric companies"
"
HB 260",-,"
Taylor",-,"
Provides that any person found guilty of poaching a wild turkey, paddlefish, white-tailed deer, black bear, or elk may be required to provide restitution to the state"
"
HB 448",-,"
Pike",-,"
Designates the Cloria Brown Memorial Highway in St. Louis County"
"
HB 612",-,"
Coleman",-,"
Transfers the State Council on the Arts from the Department of Economic Development to the Office of the Lieutenant Governor"
"
HB 655",-,"
Dinkins",-,"
Modifies provisions relating to killing of feral hogs"
"
HB 694",-,"
Anderson",-,"
Modifies provisions relating to background checks, and extends the expiration of a criminal court surcharge for the DNA Profiling Analysis fund"
"
HB 812",-,"
Houx",-,"
Enacts provisions relating to the designation of memorial highways"
"
HB 821",-,"
Solon",-,"
Establishes the Land Bank Act"
"
HB 831",-,"
Sharpe",-,"
Establishes special license plates"
"
HB 898",-,"
Walsh",-,"
Establishes a ""Back the Blue"" special license plate"
"
HB 926",-,"
Shawan",-,"
Enacts provisions relating to license plates"
"
HCR 1",-,"
Vescovo",-,"
Convenes a joint session of the General Assembly to commemorate the One Hundredth General Assembly with a group photograph in the House Chamber"
"
HCR 2",-,"
Vescovo",-,"
Convenes a joint session for the State of the State Address"
"
HCR 3",-,"
Vescovo",-,"
Convenes a joint session to receive a message from the Chief Justice of the Supreme Court of Missouri"
